ICAO	Latitude	Longitude
EDLK	0.000	0.000
EDLL	0.000	0.000
EDLM	0.000	0.000
EDLN	51.230	6.504
EDLO	0.000	0.000
EDLP	51.614	8.616
EDLR	0.000	0.000
EDLS	51.996	6.840
EDLT	0.000	0.000
EDLW	51.518	7.612
EDLX	0.000	0.000
EDLY	0.000	0.000
EDLZ	0.000	0.000
EDMA	48.425	10.932
EDMB	48.111	9.763
EDMC	0.000	0.000
EDMD	0.000	0.000
EDME	48.396	12.724
EDMF	0.000	0.000
EDMG	0.000	0.000
EDMH	0.000	0.000
EDMI	0.000	0.000
EDMJ	0.000	0.000
EDMK	0.000	0.000
EDML	0.000	0.000
EDMM	0.000	0.000
EDMN	0.000	0.000
EDMO	48.081	11.283
EDMP	0.000	0.000
EDMQ	0.000	0.000
EDMR	0.000	0.000
EDMS	48.901	12.518
EDMT	0.000	0.000
EDMV	48.636	13.195
EDMW	0.000	0.000
EDMX	0.000	0.000
EDMY	0.000	0.000
EDNA	0.000	0.000
EDNB	0.000	0.000
EDNC	0.000	0.000
EDND	0.000	0.000
EDNE	0.000	0.000
EDNG	0.000	0.000
EDNH	0.000	0.000
EDNJ	0.000	0.000
EDNK	0.000	0.000
EDNL	47.859	10.014
EDNM	0.000	0.000
EDNO	0.000	0.000
EDNP	0.000	0.000
EDNQ	0.000	0.000
EDNR	0.000	0.000
EDNS	0.000	0.000
EDNT	0.000	0.000
EDNU	0.000	0.000
EDNV	0.000	0.000
EDNW	0.000	0.000
EDNY	47.671	9.511
EDOA	0.000	0.000
EDOB	0.000	0.000
EDOC	0.000	0.000
EDOD	0.000	0.000
EDOE	0.000	0.000
EDOG	0.000	0.000
EDOI	0.000	0.000
EDOJ	0.000	0.000
EDOK	0.000	0.000
EDOL	0.000	0.000
EDOP	53.427	11.783
EDOQ	0.000	0.000
EDOR	0.000	0.000
EDOS	0.000	0.000
EDOT	0.000	0.000
EDOV	52.629	11.820
EDOW	0.000	0.000
EDOZ	0.000	0.000
EDPA	48.778	10.264
EDPB	0.000	0.000
EDPD	0.000	0.000
EDPE	0.000	0.000
EDPF	0.000	0.000
EDPG	0.000	0.000
EDPH	0.000	0.000
EDPI	0.000	0.000
EDPJ	0.000	0.000
EDPK	0.000	0.000
EDPM	0.000	0.000
EDPN	0.000	0.000
EDPO	0.000	0.000
EDPQ	0.000	0.000
EDPS	0.000	0.000
EDPT	0.000	0.000
EDQB	0.000	0.000
EDQC	50.263	10.996
EDQD	49.984	11.638
EDQE	49.794	11.132
EDQF	0.000	0.000
EDQH	0.000	0.000
EDQI	0.000	0.000
EDQK	0.000	0.000
EDQL	0.000	0.000
EDQM	50.289	11.855
EDQN	0.000	0.000
EDQO	0.000	0.000
EDQP	49.863	11.788
EDQR	0.000	0.000
EDQT	50.018	10.529
EDQW	0.000	0.000
EDQX	0.000	0.000
