ICAO,IATA,NOM,TAILLE,PAYS,CITE
KROX,ROX,Roseau Municipal Rudy Billberg Field,Smallairport, United States, Roseau
SAWM,ROY,Rio Mayo,Smallairport, Argentina, Rio Mayo
LERT,ROZ,Rota Naval Station,Mediumairport, Spain, Rota
VNRP,RPA,Rolpa,Smallairport, Nepal, Rolpa
YRRB,RPB,Roper Bar,Smallairport, Australia, Roper Bar
YNGU,RPM,Ngukurr,Mediumairport, Australia,
LLIB,RPN,Ben Ya'akov,Mediumairport, Israel, Rosh Pina
VARP,RPR,Raipur,Smallairport, India, Raipur
,RPV,Roper Valley,Closed, Australia, Roper Valley
KRPX,RPX,Roundup,Smallairport, United States, Roundup
KRQO,RQO,El Reno Regional,Smallairport, United States, El Reno
ORQW,RQW,Qayyarah West,Mediumairport, Iraq, Qayyarah
YMRE,RRE,Marree,Smallairport, Australia,
FIMR,RRG,Sir Charles Gaetan Duval,Mediumairport, Mauritius, Port Mathurin
,RRI,Barora,Closed, Solomon Islands, Barora
VERK,RRK,Rourkela,Mediumairport, India,
KRRL,RRL,Merrill Municipal,Smallairport, United States, Merrill
,RRM,Marromeu,Smallairport, Mozambique, Marromeu
,RRN,Serra Norte,Closed, Brazil, Serra Norte
,RRO,Sorrento,Closed, Italy, Naples
NTKO,RRR,Raroia,Smallairport, French Polynesia,
ENRO,RRS,Røros,Mediumairport, Norway, Røros
KRRT,RRT,Warroad International Memorial,Smallairport, United States, Warroad
YRBR,RRV,Robinson River,Smallairport, Australia,
SAZR,RSA,Santa Rosa,Mediumairport, Argentina, Santa Rosa
YRSB,RSB,Roseberth,Smallairport, Australia,
MYER,RSD,Rock Sound,Mediumairport, Bahamas, Rock Sound
,RSE,Rose Bay,Seaplanebase, Australia, Sydney
,RSG,Serra Pelada,Closed, Brazil, Serra Pelada
PARS,RSH,Russian Mission,Smallairport, United States, Russian Mission
,RSI,Rio Sidra,Closed, Panama, Rio Sidra
W49,RSJ,Rosario,Seaplanebase, United States, Rosario
WASC,RSK,Abresso,Smallairport, Indonesia, Ransiki-Papua Island
KRSL,RSL,Russell Municipal,Mediumairport, United States, Russell
KRSN,RSN,Ruston Regional,Smallairport, United States, Ruston
,RSP,Raspberry Strait,Closed, United States, Raspberry Strait
HSDZ,RSS,Damazin,Smallairport, Sudan, Ad Damazin
KRST,RST,Rochester International,Largeairport, United States, Rochester
RKJY,RSU,Yeosu,Mediumairport, South Korea, Yeosu
KRSW,RSW,Southwest Florida International,Largeairport, United States, Fort Myers
K21,RSX,Rouses Point,Seaplanebase, United States, Rouses Point
NFNR,RTA,Rotuma,Smallairport, Fiji, Rotuma
MHRO,RTB,Juan Manuel Galvez International,Mediumairport, Honduras, Roatan Island
VARG,RTC,Ratnagiri,Mediumairport, India,
,RTD,Rotunda,Closed, United States, Rotunda
,RTE,Marguerite Bay,Closed, United States, Marguerite Bay
WATG,RTG,Frans Sales Lega,Smallairport, Indonesia, Satar Tacik-Flores Island
,RTL,Spirit Lake Municipal,Closed, United States, Spirit Lake
EHRD,RTM,Rotterdam The Hague,Mediumairport, Netherlands, Rotterdam
KRTN,RTN,Raton Municipal-Crews Field,Smallairport, United States, Raton
YRTP,RTP,Rutland Plains,Smallairport, Australia,
YRTI,RTS,Rottnest Island,Closed, Australia,
UWSS,RTW,Saratov Central,Mediumairport, Russia, Saratov
YMYT,RTY,Merty Merty,Smallairport, Australia,
HUAR,RUA,Arua,Mediumairport, Uganda, Arua
OIMJ,RUD,Shahroud,Smallairport, Iran,
FZMB,RUE,Rughenda Airfield,Smallairport, Congo (Kinshasa), Butembo
WAJE,RUF,Yuruf,Smallairport, Indonesia, Amgotro
ZSRG,RUG,Rugao Air Base,Mediumairport, China, Rugao
OERK,RUH,King Khaled International,Largeairport, Saudi Arabia, Riyadh
KSRR,RUI,Sierra Blanca Regional,Mediumairport, United States, Ruidoso
VNRK,RUK,Rukumkot,Smallairport, Nepal, Rukumkot
VNRT,RUM,Rumjatar,Smallairport, Nepal, Rumjatar
FMEE,RUN,Roland Garros,Mediumairport, Réunion, St Denis
VERU,RUP,Rupsi India,Smallairport, India,
NTAR,RUR,Rurutu,Mediumairport, French Polynesia,
AGGU,RUS,Marau,Smallairport, Solomon Islands, Marau
KRUT,RUT,Rutland - Southern Vermont Regional,Mediumairport, United States, Rutland
,RUU,Ruti,Smallairport, Papua New Guinea, Kawbenaberi
MGRB,RUV,Rubelsanto,Mediumairport, Guatemala, Rubelsanto
MHRU,RUY,Copán Ruinas,Smallairport, Honduras, Copán Ruinas
FMSG,RVA,Farafangana,Smallairport, Madagascar,
,RVC,River Cess/Heliport,Smallairport, Liberia, River Cess
SWLC,RVD,General Leite de Castro,Smallairport, Brazil, Rio Verde
SKSA,RVE,Los Colonizadores,Smallairport, Colombia, Saravena
ULSS,RVH,Rzhevka,Closed, Russia, St. Petersburg
ENRM,RVK,"Rørvik, Ryum",Mediumairport, Norway, Rørvik
EFRO,RVN,Rovaniemi,Mediumairport, Finland, Rovaniemi
FARI,RVO,Reivilo,Smallairport, South Africa, Reivilo
KU34,RVR,Green River Municipal,Smallairport, United States, Green River
KRVS,RVS,Richard Lloyd Jones Jr,Mediumairport, United States, Tulsa
YNRV,RVT,Ravensthorpe,Smallairport, Australia,
NTAV,RVV,Raivavae,Smallairport, French Polynesia,
SURV,RVY,Presidente General Don Oscar D. Gestido International,Smallairport, Uruguay, Rivera
,RWB,Rowan Bay,Closed, United States, Rowan Bay
KRWF,RWF,Redwood Falls Municipal,Mediumairport, United States, Redwood Falls
KRWI,RWI,Rocky Mount Wilson Regional,Mediumairport, United States, Rocky Mount
KRWL,RWL,Rawlins Municipal/Harvey Field,Mediumairport, United States, Rawlins
UKLR,RWN,Rivne International,Mediumairport, Ukraine, Rivne
,RXA,Raudha,Closed, Yemen, Raudha
KRXE,RXE,Rexburg Madison County,Smallairport, United States, Rexburg
RPVR,RXS,Roxas,Mediumairport, Philippines, Roxas City
UUBK,RYB,Staroselye,Mediumairport, Russia, Rybinsk
ENRY,RYG,Moss-Rygge,Mediumairport, Norway, Oslo
OPRK,RYK,Shaikh Zaid,Mediumairport, Pakistan, Rahim Yar Khan
LFCY,RYN,Royan-Médis,Mediumairport, France, Royan/Médis
SAWT,RYO,28 de Noviembre,Smallairport, Argentina, Rio Turbio
SAWU,RZA,Santa Cruz,Mediumairport, Argentina, Santa Cruz
EPRZ,RZE,Rzeszów-Jasionka,Mediumairport, Poland, Rzeszów
,RZH,Quartz Hill,Closed, United States, Lancaster
UUWR,RZN,Turlatovo,Smallairport, Russia, Ryazan
RPSD,RZP,Cesar Lim Rodriguez,Smallairport, Philippines," Taytay Airport, Sandoval Airport"
OINR,RZR,Ramsar,Mediumairport, Iran,
KRZZ,RZZ,Halifax County,Closed, United States, Roanoke Rapids
,SAA,Shively Field,Closed, United States, Saratoga
TNCS,SAB,Juancho E. Yrausquin,Smallairport, Caribbean Netherlands, Saba
KSAC,SAC,Sacramento Executive,Mediumairport, United States, Sacramento
KSAD,SAD,Safford Regional,Smallairport, United States, Safford
KSAF,SAF,Santa Fe Municipal,Mediumairport, United States, Santa Fe
,SAG,Sagwon,Closed, United States, Sagwon
OYSN,SAH,Sana'a International,Mediumairport, Yemen, Sana'a
,SAJ,Sirajganj,Closed, Bangladesh, Sirajganj
BIKR,SAK,Sauðárkrókur,Smallairport, Iceland, Sauðárkrókur
MSLP,SAL,El Salvador International,Largeairport, El Salvador, San Salvador (san Luis Talpa)
,SAM,Salamo,Closed, Papua New Guinea, Salamo
KSAN,SAN,San Diego International,Largeairport, United States, San Diego
SBMT,SAO,Campo de Marte,Mediumairport, Brazil, São Paulo
MHLM,SAP,Ramón Villeda Morales International,Mediumairport, Honduras, San Pedro Sula
MYAN,SAQ,San Andros,Mediumairport, Bahamas, Andros Island
KSAR,SAR,Sparta Community Hunter Field,Smallairport, United States, Sparta
KSAS,SAS,Salton Sea,Smallairport, United States, Salton City
KSAT,SAT,San Antonio International,Largeairport, United States, San Antonio
WATS,SAU,Sabu-Tardanu,Smallairport, Indonesia, Sabu-Sawu Island
KSAV,SAV,Savannah Hilton Head International,Largeairport, United States, Savannah
LTFJ,SAW,Sabiha Gökçen International,Largeairport, Turkey, Istanbul
,SAX,Sambu,Smallairport, Panama, Boca de Sábalo
LIQS,SAY,Siena-Ampugnano,Mediumairport, Italy, Siena
GLST,SAZ,Sasstown,Smallairport, Liberia, Sasstown
,SB0,Pirenopolis Centeral,Closed, Brazil, Pirenopolis
,SB2,Fazenda Bela Vista,Closed, Brazil, 3 Marias
KSBA,SBA,Santa Barbara Municipal,Mediumairport, United States, Santa Barbara
SVSB,SBB,Santa Bárbara de Barinas,Smallairport, Venezuela, Santa Bárbara
AYSO,SBC,Selbang,Smallairport, Papua New Guinea, Selbang
KSBD,SBD,San Bernardino International,Mediumairport, United States, San Bernardino
AYSA,SBE,Suabi,Smallairport, Papua New Guinea,
OADS,SBF,Sardeh Band,Smallairport, Afghanistan, Sardeh Band
WITN,SBG,Maimun Saleh,Smallairport, Indonesia, Sabang-We Island
TFFJ,SBH,Gustaf III,Mediumairport, Saint Barthélemy, Gustavia
GUSB,SBI,Sambailo,Smallairport, Guinea, Koundara
SNMX,SBJ,São Mateus,Smallairport, Brazil, São Mateus
LFRT,SBK,Saint-Brieuc-Armor,Mediumairport, France, Saint-Brieuc/Armor
SLSA,SBL,Santa Ana Del Yacuma,Mediumairport, Bolivia, Santa Ana del Yacuma
KSBN,SBN,South Bend Regional,Largeairport, United States, South Bend
44U,SBO,Salina Gunnison,Smallairport, United States, Salina
KSBP,SBP,San Luis County Regional,Mediumairport, United States, San Luis Obispo
OPSB,SBQ,Sibi,Smallairport, Pakistan, Sibi
YSII,SBR,Saibai Island,Smallairport, Australia, Saibai Island
KSBS,SBS,Steamboat Springs Bob Adams Field,Smallairport, United States, Steamboat Springs
FASB,SBU,Springbok,Mediumairport, South Africa, Springbok
AYSH,SBV,Sabah,Smallairport, Papua New Guinea, Sabah
WBGS,SBW,Sibu,Mediumairport, Malaysia, Sibu
KSBX,SBX,Shelby,Smallairport, United States, Shelby
KSBY,SBY,Salisbury Ocean City Wicomico Regional,Mediumairport, United States, Salisbury
LRSB,SBZ,Sibiu International,Mediumairport, Romania, Sibiu
,SCA,Santa Catalina,Closed, Colombia, Santa Catalina
PASC,SCC,Deadhorse,Mediumairport, United States, Deadhorse
MHUL,SCD,Sulaco,Smallairport, Honduras, Sulaco
KUNV,SCE,University Park,Mediumairport, United States, State College
KSDL,SCF,Scottsdale,Smallairport, United States, Scottsdale
YSPK,SCG,Spring Creek,Smallairport, Australia,
KSCH,SCH,Schenectady County,Mediumairport, United States, Schenectady
SVPM,SCI,Paramillo,Mediumairport, Venezuela,
,SCJ,Smith Cove,Closed, United States, Smith Cove
KSCK,SCK,Stockton Metropolitan,Mediumairport, United States, Stockton
SCEL,SCL,Comodoro Arturo Merino Benítez International,Largeairport, Chile, Santiago
PACM,SCM,Scammon Bay,Mediumairport, United States, Scammon Bay
EDDR,SCN,Saarbrücken,Mediumairport, Germany, Saarbrücken
UATE,SCO,Aktau,Mediumairport, Kazakhstan, Aktau
LFNC,SCP,Mont-Dauphin - St-Crépin,Smallairport, France, Mende
LEST,SCQ,Santiago de Compostela,Largeairport, Spain, Santiago de Compostela
EGPM,SCS,Scatsta,Mediumairport, United Kingdom, Shetland Islands
OYSQ,SCT,Socotra International,Mediumairport, Yemen, Socotra Islands
MUCU,SCU,Antonio Maceo International,Mediumairport, Cuba, Santiago
LRSV,SCV,Suceava Stefan cel Mare,Mediumairport, Romania, Suceava
UUYY,SCW,Syktyvkar,Mediumairport, Russia, Syktyvkar
MMSZ,SCX,Salina Cruz Naval Air Station,Smallairport, Mexico, Salina Cruz
SEST,SCY,San Cristóbal,Smallairport, Ecuador, San Cristóbal
AGGL,SCZ,Santa Cruz/Graciosa Bay/Luova,Smallairport, Solomon Islands, Santa Cruz/Graciosa Bay/Luova
FALW,SDB,Langebaanweg,Mediumairport, South Africa, Langebaanweg
SYSC,SDC,Sand Creek,Smallairport, Guyana, Sand Creek
FNUB,SDD,Lubango,Mediumairport, Angola, Lubango
SANE,SDE,Vicecomodoro Angel D. La Paz Aragonés,Mediumairport, Argentina, Santiago del Estero
KSDF,SDF,Louisville International Standiford Field,Largeairport, United States, Louisville
OICS,SDG,Sanandaj,Mediumairport, Iran,
MHRS,SDH,Santa Rosa de Copán,Closed, Honduras, Santa Rosa de Copán
AYSD,SDI,Saidor,Smallairport, Papua New Guinea, Saidor
RJSS,SDJ,Sendai,Mediumairport, Japan, Sendai
WBKS,SDK,Sandakan,Mediumairport, Malaysia, Sandakan
ESNN,SDL,Sundsvall-Härnösand,Mediumairport, Sweden, Sundsvall/ Härnösand
KSDM,SDM,Brown Field Municipal,Mediumairport, United States, San Diego
ENSD,SDN,Sandane (Anda),Smallairport, Norway, Sandane
,SDO,Ryotsu Sado Is,Closed, Japan, Ryotsu Sado Is
PASD,SDP,Sand Point,Mediumairport, United States, Sand Point
MDSD,SDQ,Las Américas International,Largeairport, Dominican Republic, Santo Domingo
LEXJ,SDR,Seve Ballesteros-Santander,Mediumairport, Spain, Santander
RJSD,SDS,Sado,Mediumairport, Japan, Sado
OPSS,SDT,Saidu Sharif,Mediumairport, Pakistan, Saidu Sharif
SBRJ,SDU,Santos Dumont,Mediumairport, Brazil, Rio De Janeiro
LLSD,SDV,Sde Dov,Mediumairport, Israel, Tel Aviv
,SDW,Sandwip,Closed, Bangladesh, Sandwip
KSEZ,SDX,Sedona,Smallairport, United States, Sedona
KSDY,SDY,Sidney - Richland Regional,Mediumairport, United States, Sidney
KSEA,SEA,Seattle Tacoma International,Largeairport, United States, Seattle
HLLS,SEB,Sabha,Mediumairport, Libya, Sabha
,SEC,›,Closed, France, Serre Chevalier
KSEF,SEF,Serre Chevalier,Smallairport, United States, Sebring
KSEG,SEG,Sebring Regional,Smallairport, United States, Selinsgrove
WAJS,SEH,Penn Valley,Smallairport, Indonesia, Senggeh
,SEI,Senggeh,Closed, Brazil, Senhor Do Bonfim
,SEJ,Senhor Do Bonfim,Closed, Iceland, Seydisfjordur
UESK,SEK,Seydisfjordur,Mediumairport, Russia, Srednekolymsk
KSEM,SEM,Srednekolymsk,Smallairport, United States, Selma
EGMC,SEN,Craig Field,Mediumairport, United Kingdom, Southend
DISG,SEO,Southend,Smallairport, Côte d'Ivoire, Seguela
KSEP,SEP,Seguela,Smallairport, United States, Stephenville
WIBS,SEQ,Stephenville Clark Regional,Smallairport, Indonesia, Bengkalis-Sumatra Island
KSER,SER,Sungai Pakning Bengkalis,Smallairport, United States, Seymour
,SES,Freeman Municipal,Closed, United States, Selma
,SET,Selfield,Closed, Honduras, San Esteban
HTSN,SEU,San Esteban,Smallairport, Tanzania, Seronera
UKCS,SEV,Seronera,Smallairport, Ukraine, Sievierodonetsk
HE24,SEW,Sievierodonetsk,Smallairport, Egypt, Siwa
ETAS,SEX,Siwa Oasis North,Closed, Germany, Sembach
GQNS,SEY,Sembach Air Base,Smallairport, Mauritania, Sélibaby
FSIA,SEZ,Sélibaby,Mediumairport, Seychelles, Mahe Island
DTTX,SFA,Seychelles International,Mediumairport, Tunisia, Sfax
KSFB,SFB,Sfax Thyna International,Largeairport, United States, Orlando
TFFC,SFC,Orlando Sanford International,Smallairport, Guadeloupe, St-François
SVSR,SFD,St-François,Mediumairport, Venezuela, Inglaterra
RPUS,SFE,San Fernando De Apure,Mediumairport, Philippines,
KSFF,SFF,San Fernando,Mediumairport, United States, Spokane
TFFG,SFG,Felts Field,Mediumairport, Saint Martin, Grand Case
MMSF,SFH,L'Espérance,Smallairport, Mexico, Mexicali
GMMS,SFI,San Felipe International,Smallairport, Morocco, Safi
BGSF,SFJ,Safi,Mediumairport, Greenland, Kangerlussuaq
GVSF,SFL,Kangerlussuaq,Smallairport, Cape Verde, São Filipe
KSFM,SFM,São Filipe,Smallairport, United States, Sanford
SAAV,SFN,Sanford Seacoast Regional,Mediumairport, Argentina, Santa Fe
KSFO,SFO,Sauce Viejo,Largeairport, United States, San Francisco
,SFP,San Francisco International,Closed, Australia, Surfers Paradise
LTCH,SFQ,Surfers Paradise,Mediumairport, Turkey, Şanlıurfa
,SFR,Şanlıurfa,Closed, United States, Los Angeles
RPLB,SFS,San Fernando,Mediumairport, Philippines, Olongapo City
ESNS,SFT,Subic Bay International,Mediumairport, Sweden, Skellefteå
AYSF,SFU,Skellefteå,Smallairport, Papua New Guinea, Safia
,SFV,Safia,Closed, Brazil, Santa Fe Do Sul
,SFW,Santa Fe Do Sul,Closed, Panama, Santa Fe
SVMU,SFX,Santa Fe,Smallairport, Venezuela, Ciudad Guayana
KSFZ,SFZ,Macagua,Smallairport, United States, Pawtucket
OASN,SGA,North Central State,Smallairport, Afghanistan, Sheghnan
,SGB,Sheghnan,Closed, Papua New Guinea, Singaua
USRR,SGC,Singaua,Mediumairport, Russia, Surgut
EKSB,SGD,Surgut,Mediumairport, Denmark, Sønderborg
EDGS,SGE,Sønderborg,Mediumairport, Germany,
KSGF,SGF,Siegerland,Largeairport, United States, Springfield
WBGY,SGG,Springfield Branson National,Closed, Malaysia, Sri Aman
KSGH,SGH,Simanggang,Mediumairport, United States, Springfield
OPSR,SGI,Springfield-Beckley Municipal,Mediumairport, Pakistan, Sargodha
,SGJ,Mushaf Air Base,Closed, Papua New Guinea, Sagarai
AYSK,SGK,Sagarai,Smallairport, Papua New Guinea, Sengapi
RPLS,SGL,Sengapi Airstrip,Smallairport, Philippines, Cavite City
,SGM,Danilo Atienza Air Base,Smallairport, Mexico, San Ignacio
VVTS,SGN,San Ignacio,Largeairport, Vietnam, Ho Chi Minh City
YSGE,SGO,Tan Son Nhat International,Smallairport, Australia,
YSHG,SGP,St George,Smallairport, Australia, Shay Gap
WALA,SGQ,Shay Gap,Smallairport, Indonesia, Sanggata/Sangkimah
KSGR,SGR,Sanggata/Sangkimah,Mediumairport, United States, Houston
RPMN,SGS,Sugar Land Regional,Mediumairport, Philippines,
KSGT,SGT,Sanga Sanga,Smallairport, United States, Stuttgart
KSGU,SGU,Stuttgart Municipal / Carl Humphrey Field,Mediumairport, United States, St George
SAVS,SGV,St George Municipal,Smallairport, Argentina, Sierra Grande
A23,SGW,Sierra Grande,Seaplanebase, United States, Saginaw Bay
HTSO,SGX,Saginaw,Smallairport, Tanzania, Songea
PAGY,SGY,Songea,Smallairport, United States, Skagway
VTSH,SGZ,Skagway,Mediumairport, Thailand,
ZSSS,SHA,Songkhla,Largeairport, China, Shanghai
RJCN,SHB,Shanghai Hongqiao International,Mediumairport, Japan, Nakashibetsu
,SHC,Nakashibetsu,Smallairport, Ethiopia, Shire Indasilase
KSHD,SHD,Shire Inda Selassie,Smallairport, United States, Staunton/Waynesboro/Harrisonburg
ZYTX,SHE,Shenandoah Valley Regional,Largeairport, China, Shenyang
ZWHZ,SHF,Taoxian,Smallairport, China, Shihezi
PAGH,SHG,Huayuan,Smallairport, United States, Shungnak
PASH,SHH,Shungnak,Mediumairport, United States, Shishmaref
RORS,SHI,Shishmaref,Mediumairport, Japan, Shimojishima
OMSJ,SHJ,Shimojishima,Largeairport, United Arab Emirates, Sharjah
FXSH,SHK,Sharjah International,Smallairport, Lesotho, Sehonghong
VEBI,SHL,Sehonghong,Mediumairport, India, Shillong
RJBD,SHM,Shillong,Mediumairport, Japan, Shirahama
KSHN,SHN,Nanki Shirahama,Smallairport, United States, Shelton
YSPT,SHQ,Sanderson Field,Smallairport, Australia,
KSHR,SHR,Southport,Mediumairport, United States, Sheridan
ZHSS,SHS,Sheridan County,Smallairport, China, Shashi
YSHT,SHT,Shashi,Mediumairport, Australia,
YSMP,SHU,Shepparton,Smallairport, Australia,
KSHV,SHV,Smith Point,Largeairport, United States, Shreveport
OESH,SHW,Shreveport Regional,Mediumairport, Saudi Arabia,
PAHX,SHX,Sharurah,Smallairport, United States, Shageluk
HTSY,SHY,Shageluk,Smallairport, Tanzania, Shinyanga
FXSS,SHZ,Shinyanga,Smallairport, Lesotho, Seshutes
ZLSN,SIA,Seshutes,Mediumairport, China, Xi'an
FCBS,SIB,Xi'an Xiguan,Smallairport, Congo (Brazzaville), Sibiti
GVAC,SID,Sibiti,Mediumairport, Cape Verde, Espargos
LPSI,SIE,Amílcar Cabral International,Smallairport, Portugal,
VNSI,SIF,Sines,Smallairport, Nepal, Simara
TJIG,SIG,›,Mediumairport, Puerto Rico, San Juan
VNDT,SIH,Fernando Luis Ribas Dominicci,Smallairport, Nepal, Silgadi Doti
GMMF,SII,Silgadi Doti,Smallairport, Morocco, Sidi Ifni
BISI,SIJ,Sidi Ifni Xx,Mediumairport, Iceland, Siglufjörður
AYSG,SIL,Siglufjörður,Smallairport, Papua New Guinea, Sila Mission
AYSJ,SIM,Sila,Smallairport, Papua New Guinea, Simbai
WSSS,SIN,Simbai,Largeairport, Singapore, Singapore
YSMI,SIO,Singapore Changi,Mediumairport, Australia,
UKFF,SIP,Smithton,Largeairport, Ukraine, Simferopol
WIDS,SIQ,Simferopol International,Smallairport, Indonesia, Pasirkuning-Singkep Island
LSGS,SIR,Dabo,Mediumairport, Switzerland, Sion
FASS,SIS,Sion,Mediumairport, South Africa, Sishen
PASI,SIT,Sishen,Mediumairport, United States, Sitka
MNSI,SIU,Sitka Rocky Gutierrez,Smallairport, Nicaragua, Siuna
WIMP,SIW,Siuna,Smallairport, Indonesia, Parapat-Sumatra Island
YSGT,SIX,Sibisa,Smallairport, Australia, Singleton
,SIY,Singleton,Closed, United States, Montague
AYZN,SIZ,Siskiyou County,Smallairport, Papua New Guinea, Sissano
SPJN,SJA,Sissano,Smallairport, Perú, San Juan de Marcona
SLJO,SJB,San Juan de Marcona,Smallairport, Bolivia, San Joaquín
KSJC,SJC,San Joaquín,Largeairport, United States, San Jose
MMSD,SJD,Norman Y. Mineta San Jose International,Largeairport, Mexico, San José del Cabo
SKSJ,SJE,Los Cabos International,Mediumairport, Colombia, San José Del Guaviare
,SJF,Jorge E. Gonzalez Torres,Closed, U.S. Virgin Islands, Saint John Island
,SJG,Cruz Bay Seaplane Base,Closed, Colombia, San Pedro Jagua
,SJH,San Pedro Jagua,Smallairport, Colombia, San Juan Del César
RPUH,SJI,San Juan Del César,Mediumairport, Philippines, San Jose
LQSA,SJJ,San Jose,Largeairport, Bosnia and Herzegovina, Sarajevo
SBSJ,SJK,Sarajevo International,Mediumairport, Brazil, São José Dos Campos
SBUA,SJL,Professor Urbano Ernesto Stumpf,Mediumairport, Brazil, São Gabriel Da Cachoeira
MDSJ,SJM,São Gabriel da Cachoeira,Closed, Dominican Republic, San Juan
KSJN,SJN,San Juan,Smallairport, United States, St Johns
MROC,SJO,St Johns Industrial Air Park,Mediumairport, Costa Rica, San Jose
SBSR,SJP,Juan Santamaria International,Mediumairport, Brazil, São José Do Rio Preto
FLSS,SJQ,Prof. Eribelto Manoel Reino State,Smallairport, Zambia, Sesheke
,SJR,Sesheke,Smallairport, Colombia, San Juan De Uraba
SLJE,SJS,San Juan De Uraba,Smallairport, Bolivia, San José de Chiquitos
KSJT,SJT,San José De Chiquitos,Mediumairport, United States, San Angelo
TJSJ,SJU,San Angelo Regional Mathis Field,Largeairport, Puerto Rico, San Juan
SLJV,SJV,Luis Munoz Marin International,Smallairport, Bolivia, San Javier
ZBSJ,SJW,San Javier,Mediumairport, China, Shijiazhuang
,SJX,Shijiazhuang Daguocun International,Mediumairport, Belize, Sartaneja
EFSI,SJY,Sartaneja,Mediumairport, Finland, Seinäjoki / Ilmajoki
LPSJ,SJZ,Seinäjoki,Mediumairport, Portugal, Velas
KSKA,SKA,São Jorge,Largeairport, United States, Spokane
TKPK,SKB,Fairchild Air Force Base,Mediumairport, Saint Kitts and Nevis, Basseterre
AYSU,SKC,Robert L. Bradshaw International,Smallairport, Papua New Guinea, Suki
UTSS,SKD,Suki,Mediumairport, Uzbekistan, Samarkand
ENSN,SKE,Samarkand,Mediumairport, Norway, Geiteryggen
KSKF,SKF,Skien,Mediumairport, United States, San Antonio
LGTS,SKG,Lackland Air Force Base,Largeairport, Greece, Thessaloniki
VNSK,SKH,Thessaloniki Macedonia International,Smallairport, Nepal, Surkhet
DABP,SKI,Surkhet,Closed, Algeria, Skikda
,SKJ,Skikda,Closed, United States, Sitkinak Island
PFSH,SKK,Sitkinak,Smallairport, United States, Shaktoolik
EGEI,SKL,Shaktoolik,Smallairport, United Kingdom, Ashaig
SYSK,SKM,Broadford Airstrip,Smallairport, Guyana, Skeldon
ENSK,SKN,Skeldon,Mediumairport, Norway, Hadsel
DNSO,SKO,Stokmarknes Skagen,Mediumairport, Nigeria, Sokoto
LWSK,SKP,Sadiq Abubakar III International,Mediumairport, North Macedonia, Skopje
FXSK,SKQ,Skopje Alexander the Great,Smallairport, Lesotho, Sekakes
HASK,SKR,Sekakes,Smallairport, Ethiopia, Shakiso
EKSP,SKS,Shakiso,Mediumairport, Denmark, Vojens
OPST,SKT,Skrydstrup Air Base,Largeairport, Pakistan, Sialkot
LGSY,SKU,Sialkot,Smallairport, Greece, Skiros Island
HESC,SKV,Skiros,Mediumairport, Egypt,
UWPS,SKX,St Catherine International,Mediumairport, Russia, Saransk
,SKY,Saransk,Closed, United States, Sandusky
OPSK,SKZ,Griffing Sandusky,Mediumairport, Pakistan, Mirpur Khas
SASA,SLA,Sukkur,Mediumairport, Argentina, Salta
KSLB,SLB,Martin Miguel De Guemes International,Smallairport, United States, Storm Lake
KSLC,SLC,Storm Lake Municipal,Largeairport, United States, Salt Lake City
LZSL,SLD,Salt Lake City International,Mediumairport, Slovakia, Sliač
KSLE,SLE,Sliač,Mediumairport, United States, Salem
OESL,SLF,Salem Municipal/McNary Field,Smallairport, Saudi Arabia,
,SLG,Sulayel,Closed, United States, Siloam Springs
NVSC,SLH,Smith Field,Smallairport, Vanuatu, Sola
FLSW,SLI,Sola,Smallairport, Zambia, Solwesi
,SLJ,Solwesi,Closed, United States,
KSLK,SLK,Solomon Aerodrome,Mediumairport, United States, Saranac Lake
OOSA,SLL,Adirondack Regional,Mediumairport, Oman, Salalah
LESA,SLM,Salalah,Mediumairport, Spain, Salamanca
KSLN,SLN,Salamanca,Mediumairport, United States, Salina
,SLO,Salina Municipal,Closed, United States, Salem
KSLO,SLO,Salem Leckrone,Smallairport, United States, Salem
MMSP,SLP,Salem Leckrone,Mediumairport, Mexico, San Luis Potosí
PASL,SLQ,Ponciano Arriaga International,Smallairport, United States, Sleetmute
KSLR,SLR,Sleetmute,Smallairport, United States, Sulphur Springs
LBSS,SLS,Sulphur Springs Municipal,Smallairport, Bulgaria, Silistra
KANK,SLT,Silistra Polkovnik Lambrinovo Airfield,Smallairport, United States, Salida
TLPC,SLU,Harriet Alexander Field,Mediumairport, Saint Lucia, Castries
VISM,SLV,George F. L. Charles,Smallairport, India,
MMIO,SLW,Shimla,Mediumairport, Mexico, Saltillo
MBSY,SLX,Plan De Guadalupe International,Smallairport, Turks and Caicos Islands, Salt Cay
USDD,SLY,Salt Cay,Mediumairport, Russia, Salekhard
SBSL,SLZ,Salekhard,Mediumairport, Brazil, São Luís
LPAZ,SMA,Marechal Cunha Machado International,Mediumairport, Portugal, Vila do Porto
SCSB,SMB,Santa Maria,Smallairport, Chile, Cerro Sombrero
,SMC,Franco Bianco,Closed, Colombia, Santa Maria
KSME,SME,Santa Maria,Mediumairport, United States, Somerset
KSMF,SMF,›,Largeairport, United States, Sacramento
SPMR,SMG,Sacramento International,Smallairport, Perú, Santa María
AYSP,SMH,Santa Maria,Smallairport, Papua New Guinea, Sapmanga
LGSM,SMI,Sapmanga,Mediumairport, Greece, Samos Island
AYXI,SMJ,Samos,Smallairport, Papua New Guinea, Sim
