ICAO,IATA,NOM,TAILLE,PAYS,CITE
KEUF,EUF,Weedon Field,Smallairport, United States, Eufaula
KEUG,EUG,Mahlon Sweet Field,Mediumairport, United States, Eugene
EDHN,EUM,Neumünster,Smallairport, Germany, Neumünster
GMML,EUN,Hassan I,Mediumairport, Western Sahara, El Aaiún
,EUO,Paratebueno,Smallairport, Colombia, Paratebueno
RPVS,EUQ,Evelio Javier,Mediumairport, Philippines, San Jose
TNCE,EUX,F. D. Roosevelt,Mediumairport, Caribbean Netherlands, Sint Eustatius
4TE8,EVA,Ben Bruce Memorial Airpark,Smallairport, United States, Evadale
YEVA,EVD,Eva Downs,Smallairport, Australia, Eva Downs
ENEV,EVE,"Harstad/Narvik, Evenes",Mediumairport, Norway, Evenes
ESND,EVG,Sveg,Mediumairport, Sweden,
YEVD,EVH,Evans Head Aerodrome,Smallairport, Australia,
KEVM,EVM,Eveleth Virginia Municipal,Smallairport, United States, Eveleth
UDYZ,EVN,Zvartnots International,Largeairport, Armenia, Yerevan
KEVV,EVV,Evansville Regional,Mediumairport, United States, Evansville
KEVW,EVW,Evanston-Uinta County-Burns Field,Mediumairport, United States, Evanston
LFOE,EVX,Évreux-Fauville (BA 105) Air Base,Mediumairport, France, Évreux/Fauville
KEWB,EWB,New Bedford Regional,Mediumairport, United States, New Bedford
,EWE,Ewer,Smallairport, Indonesia, Asmat
WABT,EWI,Enarotali,Smallairport, Indonesia, Enarotali-Papua Island
KEWK,EWK,Newton City-County,Smallairport, United States, Newton
KEWN,EWN,Coastal Carolina Regional,Mediumairport, United States, New Bern
FCOE,EWO,Ewo,Smallairport, Congo (Brazzaville), Ewo
KEWR,EWR,Newark Liberty International,Largeairport, United States, Newark
EGVI,EWY,RAF Greenham Common,Closed, United Kingdom, Berkshire
,EXI,Excursion Inlet,Seaplanebase, United States, Excursion Inlet
YEXM,EXM,Exmouth,Smallairport, Australia,
EGTE,EXT,Exeter International,Largeairport, United Kingdom, Exeter
,EYK,Beloyarskiy,Mediumairport, Russia,
GAYE,EYL,Yélimané,Smallairport, Mali, Yélimané
SKYP,EYP,El Yopal,Mediumairport, Colombia, El Yopal
O43,EYR,Yerington Municipal,Smallairport, United States, Yerington
HKES,EYS,Eliye Springs,Smallairport, Kenya, Eliye Springs
KEYW,EYW,Key West International,Mediumairport, United States, Key West
SAEZ,EZE,Ministro Pistarini International,Largeairport, Argentina, Buenos Aires
LTCA,EZS,Elazığ,Mediumairport, Turkey, Elazığ
USHB,EZV,Berezovo,Mediumairport, Russia,
GUFH,FAA,Faranah,Smallairport, Guinea, Faranah
EGLF,FAB,Farnborough,Mediumairport, United Kingdom, Farnborough
NTKF,FAC,Faaite,Smallairport, French Polynesia,
EKVG,FAE,Vagar,Mediumairport, Faroe Islands, Vagar
KFAF,FAF,Felker Army Air Field,Mediumairport, United States, Fort Eustis
BIFM,FAG,Fagurhólsmýri,Smallairport, Iceland, Fagurhólsmýri
OAFR,FAH,Farah,Smallairport, Afghanistan, Farah
PAFA,FAI,Fairbanks International,Largeairport, United States, Fairbanks
TJFA,FAJ,Diego Jimenez Torres,Mediumairport, Puerto Rico, Fajardo
2Z6,FAK,False Island,Seaplanebase, United States, False Island
,FAL,Falcon State,Closed, United States, Roma
KFAM,FAM,Farmington Regional,Smallairport, United States, Farmington
ENLI,FAN,Lista,Smallairport, Norway, Farsund
LPFR,FAO,Faro,Largeairport, Portugal, Faro
AYFR,FAQ,Frieda River,Smallairport, Papua New Guinea, Frieda River
KFAR,FAR,Hector International,Mediumairport, United States, Fargo
BIFF,FAS,Fáskrúðsfjörður,Smallairport, Iceland, Fáskrúðsfjörður
KFAT,FAT,Fresno Yosemite International,Mediumairport, United States, Fresno
OOFD,FAU,Fahud,Smallairport, Oman, Fahud
NTGF,FAV,Fakarava,Mediumairport, French Polynesia,
KFAY,FAY,Fayetteville Regional Grannis Field,Mediumairport, United States, Fayetteville
OISF,FAZ,Fasa,Mediumairport, Iran, Fasa
SWOB,FBA,Fonte Boa,Smallairport, Brazil, Fonte Boa
OAFZ,FBD,Fayzabad,Smallairport, Afghanistan, Fayzabad
